"format_id","format_name"
"21","Address"
"5","Audio"
"27","Bath"
"44","Big"
"14","Board"
"9","Book"
"47","Bookmark"
"30","Boxed"
"3","CD"
"6","Calendar"
"12","Cards"
"34","Counterpack"
"24","DVD"
"11","Diary"
"29","Digital"
"36","Diskette"
"43","Doll"
"31","Downloadable"
"19","Fold"
"10","Game"
"42","General"
"28","Globe"
"2","Hardback"
"16","Leather"
"8","Loose"
"39","Microfilm"
"38","Miscellaneous"
"4","Mixed"
"35","Multiple"
"13","Notebook"
"22","Novelty"
"48","OHP"
"20","Online"
"33","Other"
"15","Pamphlet"
"1","Paperback"
"45","Pictures"
"18","Postcard"
"41","Poster"
"32","Pre"
"37","Record"
"23","Sheet"
"46","Soft"
"7","Spiral"
"17","Toy"
"25","Undefined"
"26","VHS"
"49","Video"
"40","Wallchart"
